benchmark,seed,project_id,base_model_id,model_id,solution
./scibench/data/unencrypted/equations_feynman/FeynmanICh40Eq1,42,64d9f3d92dfe113ccc79f4bd,64d9f43432b7e006a22fe5cd,64d9f4c7380f87e46c7892ec,x1*sqrt(cos(sin(sqrt(x3))))
./scibench/data/unencrypted/equations_feynman/FeynmanICh13Eq12,42,64d9f3d85677fd8cf879f621,64d9f432d48ae47057789069,64d9f48d380f87e46c7892b9,6.67430000000001e-11*x1*x2/x3 + (3.79948662239098e-32 - 6.6743e-11*x1*x2)/x4 - 5.16987882845642e-26
./scibench/data/unencrypted/equations_feynman/FeynmanICh29Eq16,42,64d9f3d629ab73689f08bad8,64d9f431ad39fd5ab32fe5e5,64d9f4c46bb22bbd862fe74a,0.795321651796439 + 0.768937284458018*x2 + 0.758278384131572*x1 + 0.0748664719228421*x3*x4 + 0.0299035181489936*x1^2 + 0.028342135137424*x2^2 - 0.234728037551969*x4 - 0.237100232756995*x3 - 0.0945459362885116*x1*x2
./scibench/data/unencrypted/equations_feynman/FeynmanICh8Eq14,42,64d9f3d82dfe113ccc79f4b0,64d9f437ad39fd5ab32fe5fa,64d9f4d0e39361acb4df185f,2.46439822361433 + 0.0709347006883236*x2^2 + 0.0709074478093122*x1^2 + 0.0706063444620866*x3^2 + 0.0705623856584246*x4^2 + 0.00140234752390495*x1*x4 - 0.112626001557638*x3*x4 - 0.113674632067387*x1*x2
./scibench/data/unencrypted/equations_feynman/FeynmanICh18Eq4,42,64d9f3d73a0def27ede7fd65,64d9f437b20b8c8989df15ff,64d9f4f42031cb94087890ab,0.502471886116604*x2 + 0.498367829397848*x4 + 0.0759383725892905*x3*x4 + 0.0750017358010577*x1*x2 + 0.000322473078440424*x4^2 - 0.00295927028513337 - 0.0752408069856855*x1*x4 - 0.0757410628492524*x2*x3
./scibench/data/unencrypted/equations_feynman/FeynmanICh34Eq8,42,64d9f3d72dfe113ccc79f4ad,64d9f4376bb22bbd862fe657,64d9f53c6f078c697c2fe519,x1*x2*x3/x4
./scibench/data/unencrypted/equations_feynman/FeynmanICh13Eq4,42,64d9f3d8bca68f143e08bd1e,64d9f4389bbd40cb7fdf16f7,64d9f5463cf6b36bc6788b38,1.03028696685215e-13 + 0.499999999999999*x1*x2^2 + 0.499999999999999*x1*x3^2 + 0.499999999999999*x1*x4^2
./scibench/data/unencrypted/equations_feynman/FeynmanICh18Eq16,42,64d9f3d7258e87e8d6e7ff05,64d9f43cd48ae47057789097,64d9f5c232b7e006a22fe65e,x1*x2*x3*sin(x4)
./scibench/data/unencrypted/equations_feynman/FeynmanICh32Eq17,42,64d9f3d7258e87e8d6e7ff08,64d9f43c32b7e006a22fe5df,64d9f5559bbd40cb7fdf183a,22.0391589146819*x1^2*sqrt(x2) - 1899.81452324014*x1
./scibench/data/unencrypted/equations_feynman/FeynmanICh24Eq6,42,64d9f3d73a0def27ede7fd62,64d9f43c380f87e46c789257,64d9f55f3cf6b36bc6788b55,0.529946031088445*x3^2*x4^2 + 0.282838658560207*x1*x2^2*x4^2 - 6.92085820923546
./scibench/data/unencrypted/equations_feynman/FeynmanICh43Eq16,42,64d9f5ec258e87e8d6e7ff23,64d9f647ad39fd5ab32fe81a,64d9f85d2031cb94087891c2,x1*x3*sin(x2)/x4
./scibench/data/unencrypted/equations_feynman/FeynmanICh44Eq4,42,64d9f65c5677fd8cf879f645,64d9f6bc32b7e006a22fe71e,64d9f8ba0cc25eda24788fad,441.989297345877 + 1.67525217422189e-24*x1*x2*x3/x4 - 7.82408768059791e-24*x1*x2
./scibench/data/unencrypted/equations_feynman/FeynmanIICh35Eq18,42,64d9f74429ab73689f08bb26,64d9f79e3cf6b36bc6788dff,64d9f900bb068ef7e9df14bb,0.5*x1
./scibench/data/unencrypted/equations_feynman/FeynmanICh50Eq26,42,64d9f6785677fd8cf879f64d,64d9f6e32031cb9408789125,64d9f8d96213092afb788ba6,1.22471477403963e-15 + 0.999999999999997*x1*cos(x2*x3) + 1.00000000000004*x1*x4*cos(x2*x3)^2
./scibench/data/unencrypted/equations_feynman/FeynmanIICh11Eq20,42,64d9f7252dfe113ccc79f4c5,64d9f7893cf6b36bc6788ddd,64d9f905bb068ef7e9df14c7,(4132.90301274346*x1*x2*x3 + 85.2193182299004*x1*x2*x3*log(x2))/x4 - 106098.531886691
./scibench/data/unencrypted/equations_feynman/FeynmanIICh34Eq11,42,64d9f73f29ab73689f08bb1e,64d9f79f21ab1a00952fe447,64d9f92f21ab1a00952fe6d0,0.5*x1*x2*x3/x4
./scibench/data/unencrypted/equations_feynman/FeynmanIICh35Eq21,42,64d9f7da3a0def27ede7fd80,64d9f843f4cf42466b788d16,64d9f94da1b4750597788c6b,1.0842021724855e-19 + 7.24297051603992e22*x1*x2^2*x3/x4
./scibench/data/unencrypted/equations_feynman/FeynmanIIICh14Eq14,42,64d9f88806f2adaf7608bcba,64d9f8f721ab1a00952fe64a,64d9fa24a1b4750597788e6d,6.26648811125291e37
./scibench/data/unencrypted/equations_feynman/FeynmanIICh38Eq3,42,64d9f83a5677fd8cf879f66a,64d9f89fa1a437ff40df16d2,64d9f9b3a1b4750597788d5f,x2*x3*sqrt(x1^2)/x4
./scibench/data/unencrypted/equations_feynman/FeynmanIIICh10Eq19,42,64d9f86e258e87e8d6e7ff59,64d9f8cd3cf6b36bc6788fc2,64d9f9b81e4cdbc059df1205,7.38999999370275e-26*x3 + 0.900466543902294*x1*x2 + 0.800203561303407*x1*sin(x3 + x4) - 3.3549851191966e-27 - 2.61594461995276*x1*x2*x3 - 0.243535465848245*x1*x3*sin(x3 + x4) - 2.53383638144103*x1*x2*sin(x4 + sin(x3 + x4))
./scibench/data/unencrypted/equations_feynman/FeynmanIIICh21Eq20,42,64d9f9f929ab73689f08bb48,64d9fa68fa89158bea2fe192,64d9fbe36213092afb788eef,-154.966021937077
./scibench/data/unencrypted/equations_feynman/FeynmanBonus1,42,64d9fa405677fd8cf879f68b,64d9fab515abdd3bf52fe1ea,64d9fc3615abdd3bf52fe4b8,2.6748969926749e-7 + 1.22985948095237e-9*x1*sin(x1)^6 + 1.5738381046912e-8*x1^2*sin(x1)^6 + 2.21595531060687e-9*x1*sin(x1)^6*cos(x2) + 2.23900128982227e-8*x1^2*sin(x1)^6*cos(x2)
./scibench/data/unencrypted/equations_feynman/FeynmanBonus19,42,64d9fb352dfe113ccc79f4e9,64d9fba015abdd3bf52fe3a5,64d9fcaeb3cff2261f2fe410,1.2306476669286e29*x4 - 6.15323833464301e28
./scibench/data/unencrypted/equations_feynman/FeynmanBonus3,42,64d9fa6c3a0def27ede7fd92,64d9fad1b3cff2261f2fe229,64d9fc4715abdd3bf52fe4df,2353224360.59911*x2 + 221002959.463688*x3 + 218975228.72599*x4 + 1.13785429100796*x1 + 0.00123238689505465*x1*x3 - 1071095641.24319 - 0.708435206378456*x1*x2 - 71103617.0767129*x3*x4 - 2363880815.06153*x2^2
./scibench/data/unencrypted/equations_feynman/FeynmanBonus11,42,64d9faf129ab73689f08bb5c,64d9fb5aee8302f19b788b16,64d9fc596213092afb788f69,x1*x3^2
